recording,window,slot,channel,animal,genotype
32__0,2674,Ch A,LMot,32,WT
32__0,2674,Ch B,RVis,32,WT
32__0,2674,Ch C,RBar,32,WT
32__0,2674,Ch D,LVis,32,WT
32__0,2674,Ch E,RHip,32,WT
32__0,2674,Ch F,RMot,32,WT
32__0,2674,Ch G,LHip,32,WT
32__0,2674,Ch H,LBar,32,WT
32__0,3110,Ch A,RVis,32,WT
32__0,3110,Ch B,LMot,32,WT
32__0,3110,Ch C,LBar,32,WT
32__0,3110,Ch D,LVis,32,WT
32__0,3110,Ch E,RMot,32,WT
32__0,3110,Ch F,RBar,32,WT
32__0,3110,Ch G,RHip,32,WT
32__0,3110,Ch H,LHip,32,WT
32__0,3199,Ch A,RBar,32,WT
32__0,3199,Ch B,LMot,32,WT
32__0,3199,Ch C,LBar,32,WT
32__0,3199,Ch D,RHip,32,WT
32__0,3199,Ch E,RMot,32,WT
32__0,3199,Ch F,RVis,32,WT
32__0,3199,Ch G,LVis,32,WT
32__0,3199,Ch H,LHip,32,WT
32__0,5152,Ch A,RHip,32,WT
32__0,5152,Ch B,LBar,32,WT
32__0,5152,Ch C,LMot,32,WT
32__0,5152,Ch D,RVis,32,WT
32__0,5152,Ch E,LVis,32,WT
32__0,5152,Ch F,RBar,32,WT
32__0,5152,Ch G,RMot,32,WT
32__0,5152,Ch H,LHip,32,WT
32__0,5452,Ch A,LHip,32,WT
32__0,5452,Ch B,RBar,32,WT
32__0,5452,Ch C,RHip,32,WT
32__0,5452,Ch D,LMot,32,WT
32__0,5452,Ch E,LVis,32,WT
32__0,5452,Ch F,RVis,32,WT
32__0,5452,Ch G,LBar,32,WT
32__0,5452,Ch H,RMot,32,WT
32__0,5701,Ch A,RMot,32,WT
32__0,5701,Ch B,LVis,32,WT
32__0,5701,Ch C,LHip,32,WT
32__0,5701,Ch D,LMot,32,WT
32__0,5701,Ch E,RHip,32,WT
32__0,5701,Ch F,RBar,32,WT
32__0,5701,Ch G,RVis,32,WT
32__0,5701,Ch H,LBar,32,WT
32__0,5982,Ch A,RBar,32,WT
32__0,5982,Ch B,RVis,32,WT
32__0,5982,Ch C,LVis,32,WT
32__0,5982,Ch D,RHip,32,WT
32__0,5982,Ch E,LHip,32,WT
32__0,5982,Ch F,LBar,32,WT
32__0,5982,Ch G,RMot,32,WT
32__0,5982,Ch H,LMot,32,WT
32__0,7760,Ch A,RHip,32,WT
32__0,7760,Ch B,LMot,32,WT
32__0,7760,Ch C,LVis,32,WT
32__0,7760,Ch D,RBar,32,WT
32__0,7760,Ch E,RVis,32,WT
32__0,7760,Ch F,RMot,32,WT
32__0,7760,Ch G,LBar,32,WT
32__0,7760,Ch H,LHip,32,WT
32__0,13698,Ch A,LHip,32,WT
32__0,13698,Ch B,RVis,32,WT
32__0,13698,Ch C,LBar,32,WT
32__0,13698,Ch D,LMot,32,WT
32__0,13698,Ch E,RBar,32,WT
32__0,13698,Ch F,LVis,32,WT
32__0,13698,Ch G,RHip,32,WT
32__0,13698,Ch H,RMot,32,WT
32__1,1327,Ch A,RMot,32,WT
32__1,1327,Ch B,RVis,32,WT
32__1,1327,Ch C,LVis,32,WT
32__1,1327,Ch D,LHip,32,WT
32__1,1327,Ch E,LMot,32,WT
32__1,1327,Ch F,RHip,32,WT
32__1,1327,Ch G,LBar,32,WT
32__1,1327,Ch H,RBar,32,WT
32__1,3065,Ch A,LHip,32,WT
32__1,3065,Ch B,LVis,32,WT
32__1,3065,Ch C,LMot,32,WT
32__1,3065,Ch D,RVis,32,WT
32__1,3065,Ch E,LBar,32,WT
32__1,3065,Ch F,RHip,32,WT
32__1,3065,Ch G,RBar,32,WT
32__1,3065,Ch H,RMot,32,WT
32__1,3513,Ch A,RMot,32,WT
32__1,3513,Ch B,LMot,32,WT
32__1,3513,Ch C,LBar,32,WT
32__1,3513,Ch D,LVis,32,WT
32__1,3513,Ch E,LHip,32,WT
32__1,3513,Ch F,RBar,32,WT
32__1,3513,Ch G,RHip,32,WT
32__1,3513,Ch H,RVis,32,WT
32__1,6516,Ch A,RHip,32,WT
32__1,6516,Ch B,LBar,32,WT
32__1,6516,Ch C,RBar,32,WT
32__1,6516,Ch D,LMot,32,WT
32__1,6516,Ch E,RVis,32,WT
32__1,6516,Ch F,RMot,32,WT
32__1,6516,Ch G,LHip,32,WT
32__1,6516,Ch H,LVis,32,WT
32__1,10506,Ch A,RMot,32,WT
32__1,10506,Ch B,RVis,32,WT
32__1,10506,Ch C,RHip,32,WT
32__1,10506,Ch D,LMot,32,WT
32__1,10506,Ch E,RBar,32,WT
32__1,10506,Ch F,LHip,32,WT
32__1,10506,Ch G,LVis,32,WT
32__1,10506,Ch H,LBar,32,WT
32__1,11136,Ch A,RMot,32,WT
32__1,11136,Ch B,LHip,32,WT
32__1,11136,Ch C,RVis,32,WT
32__1,11136,Ch D,LBar,32,WT
32__1,11136,Ch E,RHip,32,WT
32__1,11136,Ch F,LMot,32,WT
32__1,11136,Ch G,RBar,32,WT
32__1,11136,Ch H,LVis,32,WT
32__1,14777,Ch A,LBar,32,WT
32__1,14777,Ch B,RMot,32,WT
32__1,14777,Ch C,RHip,32,WT
32__1,14777,Ch D,LMot,32,WT
32__1,14777,Ch E,LHip,32,WT
32__1,14777,Ch F,RVis,32,WT
32__1,14777,Ch G,LVis,32,WT
32__1,14777,Ch H,RBar,32,WT
32__1,17128,Ch A,LMot,32,WT
32__1,17128,Ch B,LHip,32,WT
32__1,17128,Ch C,RBar,32,WT
32__1,17128,Ch D,LBar,32,WT
32__1,17128,Ch E,RVis,32,WT
32__1,17128,Ch F,RHip,32,WT
32__1,17128,Ch G,LVis,32,WT
32__1,17128,Ch H,RMot,32,WT
32__2,5975,Ch A,LMot,32,WT
32__2,5975,Ch B,LVis,32,WT
32__2,5975,Ch C,RVis,32,WT
32__2,5975,Ch D,RBar,32,WT
32__2,5975,Ch E,LBar,32,WT
32__2,5975,Ch F,RMot,32,WT
32__2,5975,Ch G,LHip,32,WT
32__2,5975,Ch H,RHip,32,WT
32__2,6484,Ch A,RVis,32,WT
32__2,6484,Ch B,LVis,32,WT
32__2,6484,Ch C,LBar,32,WT
32__2,6484,Ch D,LHip,32,WT
32__2,6484,Ch E,LMot,32,WT
32__2,6484,Ch F,RHip,32,WT
32__2,6484,Ch G,RMot,32,WT
32__2,6484,Ch H,RBar,32,WT
32__2,8077,Ch A,RMot,32,WT
32__2,8077,Ch B,RHip,32,WT
32__2,8077,Ch C,RVis,32,WT
32__2,8077,Ch D,LVis,32,WT
32__2,8077,Ch E,LHip,32,WT
32__2,8077,Ch F,LMot,32,WT
32__2,8077,Ch G,RBar,32,WT
32__2,8077,Ch H,LBar,32,WT
32__2,9055,Ch A,LHip,32,WT
32__2,9055,Ch B,LMot,32,WT
32__2,9055,Ch C,LVis,32,WT
32__2,9055,Ch D,RMot,32,WT
32__2,9055,Ch E,LBar,32,WT
32__2,9055,Ch F,RVis,32,WT
32__2,9055,Ch G,RHip,32,WT
32__2,9055,Ch H,RBar,32,WT
32__2,9171,Ch A,LVis,32,WT
32__2,9171,Ch B,RBar,32,WT
32__2,9171,Ch C,RMot,32,WT
32__2,9171,Ch D,RVis,32,WT
32__2,9171,Ch E,LMot,32,WT
32__2,9171,Ch F,LBar,32,WT
32__2,9171,Ch G,RHip,32,WT
32__2,9171,Ch H,LHip,32,WT
32__2,10299,Ch A,LBar,32,WT
32__2,10299,Ch B,RMot,32,WT
32__2,10299,Ch C,RVis,32,WT
32__2,10299,Ch D,RBar,32,WT
32__2,10299,Ch E,LMot,32,WT
32__2,10299,Ch F,LVis,32,WT
32__2,10299,Ch G,RHip,32,WT
32__2,10299,Ch H,LHip,32,WT
32__2,13869,Ch A,RVis,32,WT
32__2,13869,Ch B,LBar,32,WT
32__2,13869,Ch C,RHip,32,WT
32__2,13869,Ch D,LHip,32,WT
32__2,13869,Ch E,LMot,32,WT
32__2,13869,Ch F,RBar,32,WT
32__2,13869,Ch G,RMot,32,WT
32__2,13869,Ch H,LVis,32,WT
32__2,14072,Ch A,LHip,32,WT
32__2,14072,Ch B,LVis,32,WT
32__2,14072,Ch C,RVis,32,WT
32__2,14072,Ch D,RMot,32,WT
32__2,14072,Ch E,RBar,32,WT
32__2,14072,Ch F,LMot,32,WT
32__2,14072,Ch G,LBar,32,WT
32__2,14072,Ch H,RHip,32,WT
356__0,2313,Ch A,LHip,356,KO
356__0,2313,Ch B,RVis,356,KO
356__0,2313,Ch C,RHip,356,KO
356__0,2313,Ch D,LVis,356,KO
356__0,2313,Ch E,LBar,356,KO
356__0,2313,Ch F,LMot,356,KO
356__0,2313,Ch G,RMot,356,KO
356__0,2313,Ch H,RBar,356,KO
356__0,2727,Ch A,LVis,356,KO
356__0,2727,Ch B,RHip,356,KO
356__0,2727,Ch C,RVis,356,KO
356__0,2727,Ch D,LMot,356,KO
356__0,2727,Ch E,LBar,356,KO
356__0,2727,Ch F,RBar,356,KO
356__0,2727,Ch G,RMot,356,KO
356__0,2727,Ch H,LHip,356,KO
356__0,2730,Ch A,LBar,356,KO
356__0,2730,Ch B,RBar,356,KO
356__0,2730,Ch C,LHip,356,KO
356__0,2730,Ch D,LVis,356,KO
356__0,2730,Ch E,LMot,356,KO
356__0,2730,Ch F,RMot,356,KO
356__0,2730,Ch G,RVis,356,KO
356__0,2730,Ch H,RHip,356,KO
356__0,3181,Ch A,RVis,356,KO
356__0,3181,Ch B,LHip,356,KO
356__0,3181,Ch C,RHip,356,KO
356__0,3181,Ch D,RBar,356,KO
356__0,3181,Ch E,LBar,356,KO
356__0,3181,Ch F,LVis,356,KO
356__0,3181,Ch G,LMot,356,KO
356__0,3181,Ch H,RMot,356,KO
356__0,4142,Ch A,RBar,356,KO
356__0,4142,Ch B,LHip,356,KO
356__0,4142,Ch C,LBar,356,KO
356__0,4142,Ch D,LVis,356,KO
356__0,4142,Ch E,RHip,356,KO
356__0,4142,Ch F,LMot,356,KO
356__0,4142,Ch G,RVis,356,KO
356__0,4142,Ch H,RMot,356,KO
356__0,4269,Ch A,LHip,356,KO
356__0,4269,Ch B,RHip,356,KO
356__0,4269,Ch C,LBar,356,KO
356__0,4269,Ch D,RBar,356,KO
356__0,4269,Ch E,LVis,356,KO
356__0,4269,Ch F,RMot,356,KO
356__0,4269,Ch G,LMot,356,KO
356__0,4269,Ch H,RVis,356,KO
356__0,6304,Ch A,LHip,356,KO
356__0,6304,Ch B,LBar,356,KO
356__0,6304,Ch C,LMot,356,KO
356__0,6304,Ch D,RMot,356,KO
356__0,6304,Ch E,RBar,356,KO
356__0,6304,Ch F,RHip,356,KO
356__0,6304,Ch G,RVis,356,KO
356__0,6304,Ch H,LVis,356,KO
356__0,10296,Ch A,RBar,356,KO
356__0,10296,Ch B,RVis,356,KO
356__0,10296,Ch C,RHip,356,KO
356__0,10296,Ch D,LHip,356,KO
356__0,10296,Ch E,RMot,356,KO
356__0,10296,Ch F,LMot,356,KO
356__0,10296,Ch G,LVis,356,KO
356__0,10296,Ch H,LBar,356,KO
356__0,11953,Ch A,RVis,356,KO
356__0,11953,Ch B,RHip,356,KO
356__0,11953,Ch C,LHip,356,KO
356__0,11953,Ch D,LBar,356,KO
356__0,11953,Ch E,RMot,356,KO
356__0,11953,Ch F,LMot,356,KO
356__0,11953,Ch G,LVis,356,KO
356__0,11953,Ch H,RBar,356,KO
356__1,1327,Ch A,LBar,356,KO
356__1,1327,Ch B,RHip,356,KO
356__1,1327,Ch C,RMot,356,KO
356__1,1327,Ch D,RVis,356,KO
356__1,1327,Ch E,LVis,356,KO
356__1,1327,Ch F,LHip,356,KO
356__1,1327,Ch G,RBar,356,KO
356__1,1327,Ch H,LMot,356,KO
356__1,3065,Ch A,LVis,356,KO
356__1,3065,Ch B,LMot,356,KO
356__1,3065,Ch C,RHip,356,KO
356__1,3065,Ch D,RMot,356,KO
356__1,3065,Ch E,RBar,356,KO
356__1,3065,Ch F,RVis,356,KO
356__1,3065,Ch G,LBar,356,KO
356__1,3065,Ch H,LHip,356,KO
356__1,4213,Ch A,RBar,356,KO
356__1,4213,Ch B,RMot,356,KO
356__1,4213,Ch C,RVis,356,KO
356__1,4213,Ch D,LVis,356,KO
356__1,4213,Ch E,LHip,356,KO
356__1,4213,Ch F,LBar,356,KO
356__1,4213,Ch G,RHip,356,KO
356__1,4213,Ch H,LMot,356,KO
356__1,6198,Ch A,RHip,356,KO
356__1,6198,Ch B,LVis,356,KO
356__1,6198,Ch C,LMot,356,KO
356__1,6198,Ch D,LHip,356,KO
356__1,6198,Ch E,LBar,356,KO
356__1,6198,Ch F,RVis,356,KO
356__1,6198,Ch G,RMot,356,KO
356__1,6198,Ch H,RBar,356,KO
356__1,10396,Ch A,RHip,356,KO
356__1,10396,Ch B,LVis,356,KO
356__1,10396,Ch C,RBar,356,KO
356__1,10396,Ch D,RVis,356,KO
356__1,10396,Ch E,LMot,356,KO
356__1,10396,Ch F,LBar,356,KO
356__1,10396,Ch G,LHip,356,KO
356__1,10396,Ch H,RMot,356,KO
356__1,11871,Ch A,RMot,356,KO
356__1,11871,Ch B,LBar,356,KO
356__1,11871,Ch C,LHip,356,KO
356__1,11871,Ch D,RHip,356,KO
356__1,11871,Ch E,LVis,356,KO
356__1,11871,Ch F,RBar,356,KO
356__1,11871,Ch G,RVis,356,KO
356__1,11871,Ch H,LMot,356,KO
356__1,14047,Ch A,RMot,356,KO
356__1,14047,Ch B,LMot,356,KO
356__1,14047,Ch C,LHip,356,KO
356__1,14047,Ch D,RBar,356,KO
356__1,14047,Ch E,RVis,356,KO
356__1,14047,Ch F,RHip,356,KO
356__1,14047,Ch G,LVis,356,KO
356__1,14047,Ch H,LBar,356,KO
356__1,15704,Ch A,RHip,356,KO
356__1,15704,Ch B,RBar,356,KO
356__1,15704,Ch C,RMot,356,KO
356__1,15704,Ch D,LMot,356,KO
356__1,15704,Ch E,LVis,356,KO
356__1,15704,Ch F,LHip,356,KO
356__1,15704,Ch G,RVis,356,KO
356__1,15704,Ch H,LBar,356,KO
356__2,1327,Ch A,LMot,356,KO
356__2,1327,Ch B,RMot,356,KO
356__2,1327,Ch C,LHip,356,KO
356__2,1327,Ch D,RBar,356,KO
356__2,1327,Ch E,RHip,356,KO
356__2,1327,Ch F,LVis,356,KO
356__2,1327,Ch G,LBar,356,KO
356__2,1327,Ch H,RVis,356,KO
356__2,3065,Ch A,RVis,356,KO
356__2,3065,Ch B,RBar,356,KO
356__2,3065,Ch C,RMot,356,KO
356__2,3065,Ch D,LBar,356,KO
356__2,3065,Ch E,LVis,356,KO
356__2,3065,Ch F,LHip,356,KO
356__2,3065,Ch G,LMot,356,KO
356__2,3065,Ch H,RHip,356,KO
356__2,3513,Ch A,RHip,356,KO
356__2,3513,Ch B,LMot,356,KO
356__2,3513,Ch C,RVis,356,KO
356__2,3513,Ch D,RMot,356,KO
356__2,3513,Ch E,LHip,356,KO
356__2,3513,Ch F,LVis,356,KO
356__2,3513,Ch G,LBar,356,KO
356__2,3513,Ch H,RBar,356,KO
356__2,6516,Ch A,LHip,356,KO
356__2,6516,Ch B,LVis,356,KO
356__2,6516,Ch C,RHip,356,KO
356__2,6516,Ch D,LMot,356,KO
356__2,6516,Ch E,RMot,356,KO
356__2,6516,Ch F,RBar,356,KO
356__2,6516,Ch G,LBar,356,KO
356__2,6516,Ch H,RVis,356,KO
356__2,10506,Ch A,LVis,356,KO
356__2,10506,Ch B,LMot,356,KO
356__2,10506,Ch C,RHip,356,KO
356__2,10506,Ch D,LBar,356,KO
356__2,10506,Ch E,RBar,356,KO
356__2,10506,Ch F,RVis,356,KO
356__2,10506,Ch G,RMot,356,KO
356__2,10506,Ch H,LHip,356,KO
356__2,11136,Ch A,LVis,356,KO
356__2,11136,Ch B,RMot,356,KO
356__2,11136,Ch C,RHip,356,KO
356__2,11136,Ch D,RBar,356,KO
356__2,11136,Ch E,RVis,356,KO
356__2,11136,Ch F,LMot,356,KO
356__2,11136,Ch G,LHip,356,KO
356__2,11136,Ch H,LBar,356,KO
356__2,14777,Ch A,LBar,356,KO
356__2,14777,Ch B,RVis,356,KO
